method,inst,obj_mean,time_mean,obj_std,time_std
ham_xchg_best,1000,24399,12.851821737,0,0.853547605957583
ham_xchg_best,1500,37797,32.338646785,0,2.2342637482863
ham_xchg_best,2000,49659,61.7436275128,0,2.83914259412359
ham_xchg_best,2500,35829,77.3527753888,0,0.930962585365064
ham_xchg_best,3000,44454.8,85.1699681858,28594.9515596722,0.773856287453119
ham_xchg_first,10,40024.8,0.0020708458,54543.3077214794,0.000581645071062
ham_xchg_first,15,180101,0.0037746574,348975.567704245,0.001767887567866
ham_xchg_first,20,99437,0.0055913378,0,0.00258762663171
ham_xchg_first,25,299323,0.0075027182,0,0.003401522252234
ham_xchg_first,30,99047,0.0113332742,0,0.004381376075312
ham_xchg_first,40,101064,0.0159215664,0,0.001998454109441
ham_xchg_first,50,101181,0.0299052452,0,0.008687223612869
ham_xchg_first,60,1604,0.037508169,0,0.007366745757075
ham_xchg_first,70,98061,0.0649892996,0,0.025831368623492
ham_xchg_first,80,198144,0.0788773948,0,0.023977563174559
ham_xchg_first,90,2189,0.0958733198,0,0.022122723682476
ham_xchg_first,100,2438,0.1128847996,0,0.019391046157095
ham_xchg_first,150,4134,0.2663948594,0,0.078487672680499
ham_xchg_first,200,194929,0.4447850784,0,0.072751120788631
ham_xchg_first,250,93636,0.646811696,0,0.040713803882149
ham_xchg_first,300,7561,0.9593570904,0,0.098370036976048
ham_xchg_first,400,10638,1.7742956376,0,0.139095057110389
ham_xchg_first,500,12804,2.8203086608,0,0.231209183072656
ham_xchg_first,600,15069,4.1942394036,0,0.292490270257506
ham_xchg_first,700,16954,5.9136868616,0,0.358250887055619
ham_xchg_first,800,79969,7.9551381746,0,0.568936168345869
ham_xchg_first,900,21146,10.236599734,0,0.707752849442973
ham_xchg_first,1000,24399,12.8802954304,0,0.668448391846
ham_xchg_first,1500,37797,32.2941224398,0,1.90064624036886
ham_xchg_first,2000,49659,61.4031964094,0,2.75758529639737
ham_xchg_first,2500,35829,77.506779443,0,0.832019168127808
ham_xchg_first,3000,23572,84.5622359996,0,0.298243591519321
